Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00    75512     0.00     0.00  std::_Vector_base<Class, std::allocator<Class> >::_M_create_storage(unsigned int)
  0.00      0.10     0.00    75512     0.00     0.00  std::_Vector_base<Class, std::allocator<Class> >::_Vector_base(unsigned int, std::allocator<Class> const&)
  0.00      0.10     0.00    75512     0.00     0.00  std::allocator_traits<std::allocator<Class> >::select_on_container_copy_construction(std::allocator<Class> const&)
  0.00      0.10     0.00    75512     0.00     0.00  std::enable_if<!(std::allocator_traits<std::allocator<Class> >::__select_helper<std::allocator<Class> const>::value), std::allocator<Class> const>::type std::allocator_traits<std::allocator<Class> >::_S_select<std::allocator<Class> const>(std::allocator<Class> const&)
  0.00      0.10     0.00    75512     0.00     0.00  std::vector<Class, std::allocator<Class> >::vector(std::vector<Class, std::allocator<Class> > const&)
  0.00      0.10     0.00    66967     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  0.00      0.10     0.00    66271     0.00     0.00  void std::_Destroy<Token>(Token*)
  0.00      0.10     0.00    65487     0.00     0.00  string_contains(std::string, std::string)
  0.00      0.10     0.00    64096     0.00     0.00  std::remove_reference<Token&>::type&& std::move<Token&>(Token&)
  0.00      0.10     0.00    63442     0.00     0.00  Token::Token(Token&&)
  0.00      0.10     0.00    51739     0.00     0.00  Class::~Class()
  0.00      0.10     0.00    50540     0.00     0.00  std::vector<Variable, std::allocator<Variable> >::operator[](unsigned int)
  0.00      0.10     0.00    49645     0.00     0.00  std::vector<Variable, std::allocator<Variable> >::size() const
  0.00      0.10     0.00    46607     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.10     0.00    44977     0.00     0.00  std::vector<Method, std::allocator<Method> >::operator[](unsigned int)
  0.00      0.10     0.00    44428     0.00     0.00  std::vector<Method, std::allocator<Method> >::size() const
  0.00      0.10     0.00    41114     0.00     0.00  bool std::operator==<Token*>(std::move_iterator<Token*> const&, std::move_iterator<Token*> const&)
  0.00      0.10     0.00    41114     0.00     0.00  bool std::operator!=<Token*>(std::move_iterator<Token*> const&, std::move_iterator<Token*> const&)
  0.00      0.10     0.00    40976     0.00     0.00  std::move_iterator<Token*>::operator*() const
  0.00      0.10     0.00    40976     0.00     0.00  std::move_iterator<Token*>::operator++()
  0.00      0.10     0.00    40976     0.00     0.00  _ZSt10_ConstructI5TokenIS0_EEvPT_DpOT0_
  0.00      0.10     0.00    38181     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      0.10     0.00    37756     0.00     0.00  Class::Class(Class const&)
  0.00      0.10     0.00    31173     0.00     0.00  string_delete_amount(std::string, int)
  0.00      0.10     0.00    29546     0.00     0.00  std::vector<Class, std::allocator<Class> >::operator[](unsigned int)
  0.00      0.10     0.00    29089     0.00     0.00  __gnu_cxx::new_allocator<Class>::new_allocator()
  0.00      0.10     0.00    29084     0.00     0.00  std::allocator<Class>::allocator()
  0.00      0.10     0.00    29084     0.00     0.00  std::_Vector_base<Class, std::allocator<Class> >::_Vector_impl::_Vector_impl()
